field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29
0.571679225267,0.49487447923,0.995024291234,0.830333422601,0.0590947789467,0.0188175792527,0.978535618438,0.549722276255,0.268509855328,0.603306156854,0.712305716584,0.291468064773,0.256525913107,0.267016202131,0.440329055368,0.912300699798,0.431167929612,0.0414816458961,0.119911093829,0.511262561388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.904130959545,0.94664673522,0.728667969018,0.692913621602,0.345211542926,0.601520806387,0.0144590095218,0.764165985379,0.808024805567,0.272402622499,0.339672749492,0.694099308971,0.614681081338,0.707183791644,0.586080791762,0.963136077903,0.465852422855,0.900402226727,0.85878005654,0.418275229447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.451023085009,0.233367643268,0.425734303605,0.346573423659,0.241983454822,0.271258031818,0.680232489585,0.430464604017,0.857386697633,0.898893646865,0.766206584994,0.831970835823,0.157455244892,0.455087111121,0.996471046334,0.0250502810289,0.470576448033,0.196209215995,0.278564686383,0.198137867061,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0892307186349,0.240403994572,0.473332969143,0.562831445465,0.45290631973,0.783629489895,0.526968345015,0.257669770001,0.744572633179,0.566739972723,0.871301246992,0.498262597433,0.684373388187,0.867392309782,0.431725767902,0.541748097584,0.489532366184,0.266227189551,0.110126377574,0.197259737714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.561167893851,0.698523852663,0.6248684632,0.750454552507,0.664257521433,0.246436851059,0.0424420826489,0.024489698257,0.727310826916,0.64082960663,0.472637872234,0.435005711081,0.311419177771,0.821944774942,0.829912501714,0.0823160536884,0.895100103277,0.744647826659,0.0620405110511,0.502921717174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.565919783869,0.565154266041,0.10821074749,0.833668587197,0.874899769361,0.844210189618,0.898486683622,0.549433743229,0.654359109525,0.775980978618,0.312422618694,0.200025784527,0.12369271929,0.323888112527,0.229389661814,0.635180972222,0.540783126116,0.11863198494,0.59695528601,0.501755850553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.313652019709,0.682299744667,0.0671069047156,0.643040787314,0.428062143795,0.750349221169,0.367599347317,0.163336632178,0.919159366248,0.131860949768,0.927776078878,0.151765376931,0.663395296287,0.510407208096,0.809430623313,0.419728110865,0.0424500873192,0.96265081615,0.762182987004,0.853497905841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.132420911569,0.634630947777,0.0862266438173,0.732250307766,0.700238481494,0.131572110529,0.143265830859,0.498606060447,0.832736873663,0.193582782174,0.954508771648,0.386086389456,0.661530932524,0.156888196783,0.261634721762,0.602275266667,0.823413654808,0.603478034864,0.424012286792,0.989084902796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0516195440526,0.900276325677,0.696117560333,0.282128888817,0.851082059224,0.459465766634,0.937231242255,0.931661579047,0.973507134458,0.25322270564,0.778814028835,0.745019800334,0.10055634255,0.170407203342,0.57384177585,0.218768984409,0.753467601833,0.909013754807,0.7628535653,0.983886501965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.589807634807,0.106381256202,0.298454338547,0.485608331424,0.0442275323274,0.886514620651,0.308555907235,0.535557578398,0.680303699469,0.298205806171,0.703775402942,0.978479429427,0.471026695953,0.962709760969,0.567337899486,0.353520179375,0.255460847108,0.461912320769,0.946587565394,0.118596683326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
